id,type,title,manuscript_section,canonical_artifact,status,notes
Table 1,table,Locked CIC-IDS2017 model comparison,4.1,results_publication_final/metrics_aggregate.csv,verified,Mean and SD across seeds 42 2024 3407; convert double-header CSV to ordinary columns for submission
Table 2,table,CIC data audit and class support,2.1/3.1,results_data_evidence_v1/data_evidence_summary.json; results_data_evidence_v1/cic_processing_retention.csv; results_data_evidence_v1/cic_balanced_class_support.csv,verified,Report mismatch rows, affected conflict-group rows, conflict hashes, and removed unique vectors separately
Table 3,table,CIC feature-selection fairness and probability metrics,4.3,results_additional_evidence_v4/method_comparison_summary.csv,verified,χ², mutual information, ANOVA, and full-feature controls
Table 4,table,CIC class metrics and normalized confusion matrix,4.2,results_publication_final/classification_report_random_forest_chi2_seed42.csv; results_publication_final/supplementary/table_v4_normalized_confusion_matrix_rf_chi2.csv,verified,Use seed 42 representative report and label as such
Table 5,table,CIC repeated-split and paired effects,4.1/4.6,results_repeated_splits_v3/metrics.csv; results_repeated_splits_v3/paired_split_tests.csv; results_publication_final/paired_significance_tests.csv,verified,State number of splits and exact paired test
Table 6,table,CIC open-set combinations,4.3,results_paper_materials_v3/tables/table_v6_open_set_matrix.csv,verified,Unknown families are held out from threshold fitting
Table 7,table,CIC robustness and latency,4.2/4.4,results_additional_evidence_v4/robustness_shared_perturbations.csv; results_additional_evidence_v4/deployment_latency_percentiles.csv,verified,Offline extracted-feature benchmark only
Table 8,table,NSL-KDD independent benchmark and minority analysis,4.4,results_nsl_kdd_fair_v2/metrics.csv; results_nsl_kdd_fair_v2/minority_analysis_summary.csv; results_nsl_kdd_fair_v2/confusion_matrix_extra_trees_chi2.csv,verified,Native five-class labels; not transfer
Table 9,table,UNSW-NB15 independent benchmark,4.4,results_unsw_nb15_independent_v4/metrics_aggregate.csv; results_paper_materials_v3/tables/table_unsw_class_metrics_rf_all_3seeds.csv,verified,Native ten-class labels; not transfer
Table 10,table,UNSW-NB15 split-sensitivity protocols,4.4,results_unsw_nb15_cross_split_sensitivity_v2/metrics_aggregate.csv; results_paper_materials_v3/tables/table_v6_unsw_cross_split_sensitivity.csv,verified,Feature-key overlap is not identical to exact duplicate flow identity
Figure 1,figure,CIC model performance under locked protocol,4.1,results_publication_final/figures/fig_v2_model_performance.png,verified,Caption must state balanced research subset and three seeds
Figure 2,figure,Probability calibration curves,4.2/4.3,results_publication_final/figures/fig_v4_calibration_curves.png,verified,Calibration computed on held-out test rows after training-only fitting
Figure 3,figure,Feature-selection frequency,4.3,results_publication_final/figures/fig_v4_feature_selection_frequency.png,verified,Frequency across documented repeated folds
Figure 4,figure,Latency percentiles,4.4,results_publication_final/figures/fig_v4_latency_p50.png,verified,Include P50/P95/P99 and n_jobs in caption
S1, supplementary,CIC χ² RF class report,Supplementary,results_publication_final/classification_report_random_forest_chi2_seed42.csv,verified,
S2, supplementary,CIC full-feature RF class report,Supplementary,results_publication_final/classification_report_random_forest_all_seed42.csv,verified,
S3, supplementary,CIC weighted RF class report,Supplementary,results_publication_final/classification_report_weighted_rf_chi2_seed42.csv,verified,
S4, supplementary,CIC χ² RF confusion matrix,Supplementary,results_publication_final/confusion_matrix_random_forest_chi2_seed42.csv,verified,
S5, supplementary,CIC full-feature RF confusion matrix,Supplementary,results_publication_final/confusion_matrix_random_forest_all_seed42.csv,verified,
S6, supplementary,CIC normalized confusion matrix,Supplementary,results_publication_final/supplementary/table_v4_normalized_confusion_matrix_rf_chi2.csv,verified,Copied into final supplementary package; no historical directory required
S7, supplementary,NSL-KDD class report and confusion matrix,Supplementary,results_nsl_kdd_fair_v2/classification_report_extra_trees_chi2.csv; results_nsl_kdd_fair_v2/confusion_matrix_extra_trees_chi2.csv,verified,
S8, supplementary,NSL-KDD minority analysis,Supplementary,results_nsl_kdd_fair_v2/minority_analysis_summary.csv,verified,
S9, supplementary,UNSW class metrics and prediction counts,Supplementary,results_paper_materials_v3/tables/table_unsw_class_metrics_rf_all_3seeds.csv; results_paper_materials_v3/tables/table_unsw_prediction_counts_rf_all_seed2024.csv; results_paper_materials_v3/tables/table_unsw_normalized_confusion_matrix_rf_all_seed2024.csv,verified,
S10, supplementary,UNSW split sensitivity,Supplementary,results_paper_materials_v3/tables/table_v6_unsw_cross_split_sensitivity.csv,verified,
S11, supplementary,CIC open-set matrix,Supplementary,results_paper_materials_v3/tables/table_v6_open_set_matrix.csv,verified,
S12, supplementary,Individually tuned baselines,Supplementary,results_publication_final/supplementary/table_v3_individually_tuned_baselines.csv,verified,Must be labelled tuned and kept separate from locked results
S13, supplementary,Deployment latency protocol,Supplementary,results_additional_evidence_v4/deployment_latency_percentiles.csv; results_additional_evidence_v4/protocol.json,verified,
S14, supplementary,Shared perturbation robustness,Supplementary,results_additional_evidence_v4/robustness_shared_perturbations.csv,verified,


